Coin,Execution Price,Size Tokens,Size USD,Side,Start Position,Closed PnL,Crossed,Fee,Timestamp,Date,Direction_num,Profit_flag,sentiment_num
BTC,82255.0,0.08585,7061.59,1,0.0,0.0,True,2.372694,2025-03-17 04:48:00,2025-03-17,1,0,-1
BTC,82255.0,0.12157,9999.74,1,0.08585,0.0,True,3.359912,2025-03-17 04:48:00,2025-03-17,1,0,-1
BTC,82255.0,0.00937,770.73,1,0.20742,0.0,True,0.258964,2025-03-17 04:48:00,2025-03-17,1,0,-1
BTC,82255.0,0.12372,10176.59,1,0.21679,0.0,True,3.419333,2025-03-17 04:48:00,2025-03-17,1,0,-1
BTC,82255.0,2.64792,217804.66,1,0.34051,0.0,True,73.182364,2025-03-17 04:48:00,2025-03-17,1,0,-1
BTC,82255.0,0.08975,7382.39,1,2.98843,0.0,True,2.480481,2025-03-17 04:48:00,2025-03-17,1,0,-1
BTC,84019.0,0.11933,10025.99,0,3.07818,210.49812,False,0.962494,2025-03-18 05:22:00,2025-03-18,0,1,-1
BTC,84019.0,0.00014,11.76,0,2.95885,0.24696,False,0.001128,2025-03-18 05:22:00,2025-03-18,0,1,-1
BTC,84019.0,0.00031,26.05,0,2.95871,0.54684,False,0.002499,2025-03-18 05:22:00,2025-03-18,0,1,-1
BTC,84019.0,0.05926,4978.97,0,2.9584,104.53464,False,0.47798,2025-03-18 05:22:00,2025-03-18,0,1,-1
BTC,84019.0,0.04111,3454.02,0,2.89914,72.51804,False,0.331585,2025-03-18 05:23:00,2025-03-18,0,1,-1
BTC,84019.0,2.85801,240127.14,0,2.85803,5041.52964,False,23.052205,2025-03-18 05:24:00,2025-03-18,0,1,-1
BTC,82612.0,0.73927,61072.57,1,2e-05,0.0,True,20.520384,2025-03-19 05:33:00,2025-03-19,1,0,-1
BTC,82612.0,0.025,2065.3,1,0.73929,0.0,True,0.69394,2025-03-19 05:33:00,2025-03-19,1,0,-1
BTC,82612.0,0.60512,49990.17,1,0.76429,0.0,True,16.796697,2025-03-19 05:33:00,2025-03-19,1,0,-1
BTC,82612.0,0.00015,12.39,1,1.36941,0.0,True,0.004163,2025-03-19 05:33:00,2025-03-19,1,0,-1
BTC,82612.0,0.55,45436.6,1,1.36956,0.0,True,15.266697,2025-03-19 05:33:00,2025-03-19,1,0,-1
BTC,82613.0,0.67841,56045.49,1,1.91956,0.0,True,18.831282,2025-03-19 05:33:00,2025-03-19,1,0,-1
BTC,82613.0,0.14566,12033.41,1,2.59797,0.0,True,4.043225,2025-03-19 05:33:00,2025-03-19,1,0,-1
BTC,82613.0,0.00015,12.39,1,2.74363,0.0,True,0.004163,2025-03-19 05:33:00,2025-03-19,1,0,-1
